,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,text,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,tweet,labels
105,105,105,1.26244e+18,1.26244e+18,1589830000000.0,18-05-2020 23:36,530,,"PM @narendramodi Ji has given a 20 Lakh Cr  package for making #AatmanirbharBharat.
He is leaving no stone unturned to make NEW INDIA & defeat COVID-19.
Lets Support him & take PLEDGE
Copy + Paste the message & take  #Pledge4AatmanirbharBharat 
Tagging @iPraveendixit @nishants79","['#aatmanirbharbharat', '#pledge4aatmanirbharbharat']",[],9.06117e+17,9.06117e+17,RakeshA12572734,Rakesh Arora Non secularðï¸ intolerant Hindu,1,23,https://twitter.com/RakeshA12572734/status/1262444476473245701,False,3,0,2,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '906116884059250688', 'username': 'RakeshA12572734'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '210375740', 'username': 'iPraveendixit'}, {'user_id': '759403320', 'username': 'nishants79'}]",,,,,pm   ji   given   lakh   cr   packag   make   aatmanirbharbharat   leav   stone   unturn   make   new   india   defeat   covid   let   support   take   pledg   copi   past   messag   take   pledgeaatmanirbharbharat   tag  ,1
2514,2514,2514,1.26387e+18,1.26387e+18,1590170000000.0,22-05-2020 22:14,530,,"ðð¼ Watch Chennai Vs China. You'll Understand Current Situation Very Well.
#Chennai #vs #china
#Trending
#MadeInIndia #AatmaNirbharBharatAbhiyan #AatmaNirbharEconomy #COVIDã¼19 #coronavirus #ChinaVirus #biowar #IndiaFightsCorona #India https://twitter.com/trendingyanews/status/1263873085905780736Â â¦","['#chennai', '#vs', '#china', '#trending', '#madeinindia', '#aatmanirbharbharatabhiyan', '#aatmanirbhareconomy', '#covidã¼19', '#coronavirus', '#chinavirus', '#biowar', '#indiafightscorona', '#india']",[],8.53646e+17,8.53646e+17,msdianyogi,Yogesh Late,5,22,https://twitter.com/msdianyogi/status/1263873414571479040,False,0,0,0,https://twitter.com/trendingyanews/status/1263873085905780736,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '853645650310959106', 'username': 'msdianyogi'}]",,,,,watch   chennai   v   china   understand   current   situat   well   chennai   v   china   trend   madeinindia   aatmanirbharbharatabhiyan   aatmanirbhareconomi   covid   coronaviru   chinaviru   biowar   indiafightscorona   india  ,-1
4138,4138,4138,1.26498e+18,1.26498e+18,1590430000000.0,25-05-2020 23:43,530,,"Itâs really sad to know with 144868 cases India comes in the Top 10 list of Corona virus affected countries. God, please heal the World ð
#IndiaFightsCorona #AatmanirbharBharat #CoronaVirusUpdates #CoronaWarriors #SocialDistanacing #COVID__19 #Covid_19india pic.twitter.com/TLyxwYBUJJ","['#indiafightscorona', '#aatmanirbharbharat', '#coronavirusupdates', '#coronawarriors', '#socialdistanacing', '#covid__19', '#covid_19india']",[],1445714120.0,1445714120.0,ajayimvk,AJAY PANCHAL,1,23,https://twitter.com/ajayimvk/status/1264982827197591552,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1445714120', 'username': 'ajayimvk'}]",,,,,realli   sad   know   case   india   come   top   list   corona   viru   affect   countri   god   pleas   heal   world   indiafightscorona   aatmanirbharbharat   coronavirusupd   coronawarrior   socialdistanac   covid   covid   india  ,-1
5786,5786,5786,1.26568e+18,1.26568e+18,1590600000000.0,27-05-2020 22:11,530,,"Who is the #WorstMinister in Modi Cabinet?
#StopTargetingBengal
#COVID__19 #uttarakhandwildfire #coronavirus #JoinSpeakUpIndia #lockdown #VeerSavarkar #Corona #QuarantineLife #education #lockdownpuzzles #blogchatter #chinaindiaborder #Savarkar #AatmaNirbharBharatAbhiyan","['#worstminister', '#stoptargetingbengal', '#covid__19', '#uttarakhandwildfire', '#coronavirus', '#joinspeakupindia', '#lockdown', '#veersavarkar', '#corona', '#quarantinelife', '#education', '#lockdownpuzzles', '#blogchatter', '#chinaindiaborder', '#savarkar', '#aatmanirbharbharatabhiyan']",[],148028414.0,148028414.0,skalamz,Alam Shaikh Â® â¢âª,3,22,https://twitter.com/skalamz/status/1265684688015851520,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '148028414', 'username': 'skalamz'}]",,,,,worstminist   modi   cabinet   stoptargetingbeng   covid   uttarakhandwildfir   coronaviru   joinspeakupindia   lockdown   veersavarkar   corona   quarantinelif   educ   lockdownpuzzl   blogchatt   chinaindiabord   savarkar   aatmanirbharbharatabhiyan  ,-1
6106,6106,6106,1.26566e+18,1.26566e+18,1590590000000.0,27-05-2020 20:44,530,,ðð®ð³ *Under the able leadership of Honâble Prime Minister @narendramodi Ji* *total number of PPE Coveralls produced in India has crossed 1 crore today.* *A significant landmark towards the vision of #AatmaNirbharBharat.* pic.twitter.com/axdPuZ9mIe,['#aatmanirbharbharat'],[],7.97133e+17,7.97133e+17,NKAgarwal1234,N.K.AGARWAL,3,20,https://twitter.com/NKAgarwal1234/status/1265662567633915905,False,1,0,2,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '797132904858001409', 'username': 'NKAgarwal1234'}, {'user_id': '18839785', 'username': 'narendramodi'}]",,,,,abl   leadership   hon   ble   prime   minist   ji   total   number   ppe   coveral   produc   india   cross   crore   today   signific   landmark   toward   vision   aatmanirbharbharat  ,0
6202,6202,6202,1.26607e+18,1.26607e+18,1590690000000.0,28-05-2020 23:33,530,,"Aatmanirbhar bharat #poemð
Subscribe my #YouTube channel.
Link :-  https://youtu.be/mwO_YeMV5QAÂ 
#aatmanirbharbharat #india #covid_19 #coronavirus #narendramodi #bjp #lallantop #dhruvrathee #abpnews #bbcnews #aajtak #repablicnew #zeenews #indiatoday #timesofindia #economictimes #pimr pic.twitter.com/kLgGMcOCO3","['#poem', '#youtube', '#aatmanirbharbharat', '#india', '#covid_19', '#coronavirus', '#narendramodi', '#bjp', '#lallantop', '#dhruvrathee', '#abpnews', '#bbcnews', '#aajtak', '#repablicnew', '#zeenews', '#indiatoday', '#timesofindia', '#economictimes', '#pimr']",[],1.25015e+18,1.25015e+18,AjeetSi29053733,Ajeet Singh Chauhan,4,23,https://twitter.com/AjeetSi29053733/status/1266067694488600576,False,3,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1250153944203980800', 'username': 'AjeetSi29053733'}]",,,,,aatmanirbhar   bharat   poem   subscrib   youtub   channel   link   aatmanirbharbharat   india   covid   coronaviru   narendramodi   bjp   lallantop   dhruvrathe   abpnew   bbcnew   aajtak   repablicnew   zeenew   indiatoday   timesofindia   economictim   pimr  ,-1
176,176,176,1.26244e+18,1.26244e+18,1589820000000.0,18-05-2020 23:20,530,,"God knows but #decision of #Kejriwal is not liked by the people of Delhi bcz they are in an assumption that, this #decision will increase more #covid patients in #Delhi . #economyvshealth is the situation. @AamAadmiParty @ArvindKejriwal","['#decision', '#kejriwal', '#decision', '#covid', '#delhi', '#economyvshealth']",[],7.3465e+17,7.3465e+17,sharma13avinash,Avinash - à¤à¤µà¤¿à¤¨à¤¾à¤¶,1,23,https://twitter.com/sharma13avinash/status/1262440534674563072,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '734649640717582336', 'username': 'sharma13avinash'}, {'user_id': '711694309', 'username': 'AamAadmiParty'}, {'user_id': '405427035', 'username': 'ArvindKejriwal'}]",,,,,god   know   decis   kejriw   like   peopl   delhi   bcz   assumpt   decis   increas   covid   patient   delhi   economyvshealth   situat  ,-1
489,489,489,1.26281e+18,1.26281e+18,1589910000000.0,19-05-2020 23:56,530,,"We're all aware that the economy is going to take a massive hit due to the pandemic. But how harsh will the impact be?
#2YoDoINDIA #Economy pic.twitter.com/5mE1g7e5pc","['#2yodoindia', '#economy']",[],1.15437e+18,1.15437e+18,2yodoindia,2YoDo INDIA,2,23,https://twitter.com/2yodoindia/status/1262811759426994176,False,0,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1154365773957087232', 'username': '2yodoindia'}]",,,,,awar   economi   go   take   massiv   hit   due   pandem   harsh   impact   yodoindia   economi  ,-1
892,892,892,1.26279e+18,1.26279e+18,1589910000000.0,19-05-2020 22:25,530,,Country is copying Corna strategy from various countries it's similar to exam when student coping assumes the person knows everything and reality is the student has received out of syllabus paper ð±ð± #CallOfBoardExams #examscancelkaro #corona #economy #CoronaCrisis #pandemic,"['#callofboardexams', '#examscancelkaro', '#corona', '#economy', '#coronacrisis', '#pandemic']",[],1521260376.0,1521260376.0,raj_can,"Rajan Kothari, CPA, CA USA CAN Ind",2,22,https://twitter.com/raj_can/status/1262788914634305538,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1521260376', 'username': 'raj_can'}]",,,,,countri   copi   corna   strategi   variou   countri   similar   exam   student   cope   assum   person   know   everyth   realiti   student   receiv   syllabu   paper   callofboardexam   examscancelkaro   corona   economi   coronacrisi   pandem  ,0
1031,1031,1031,1.26317e+18,1.26317e+18,1590000000000.0,20-05-2020 23:46,530,,"Why is this #HinduMuslim fight is still going on & on.
Are not we able to dilute this at least for now, we have more things to talk about whyâs this negativity & enmity for each other.
Can we please stop this.
#Hinduphobic_Bollywood #Covid_19 #Amphan #CyclonicStormAMPHAN #Economy","['#hindumuslim', '#hinduphobic_bollywood', '#covid_19', '#amphan', '#cyclonicstormamphan', '#economy']",[],2727420346.0,2727420346.0,ChetnaSingh,Chetna Singh,3,23,https://twitter.com/ChetnaSingh/status/1263171773962555400,False,3,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2727420346', 'username': 'ChetnaSingh'}]",,,,,hindumuslim   fight   still   go   abl   dilut   least   thing   talk   neg   enmiti   pleas   stop   hinduphob   bollywood   covid   amphan   cyclonicstormamphan   economi  ,-1
